7:17,302,654,616,58,8,84,29,650,70
18:18,14035,7905,27705,17123,15122,6483,5888,20547,1486
19:20
36:302,654,616,58,8,84,29,650,70,564
37:616,8,84,564,518,542,354,1102,508,301
41:302,654,616,58,8,84,29,650,70,564
42:616,58,8,84,650,564,518,542,354,1102
43:70,1119,826,1468,44,1313,6303,4420,2789,42
44:17,302,654,76,616,58,8,84,29,650
45:670,46,4858,16995,14993,31315,11751,15580,23970,24127
46:17,302,654,616,58,8,84,29,650,70
59:17,302,654,616,58,8,866,84,29,650
60:17,302,654,616,58,8,866,84,29,650
69:17,302,654,76,616,58,8,84,29,650
70:17,654,866,84,29,224,354,1102,138,301
94:302,654,616,58,8,84,29,650,81,70
106:17,302,654,76,616,58,8,84,29,650
115:17,302,654,76,616,58,8,84,29,650
116:81,2139,168,780,117,5767,3137,2715,1460,1326
142:17,302,654,76,616,58,8,84,29,650
143:21533,89881,139,81237,120713,16703,50883,54193,54650,54720
148:81,70,564,224,542,226,508,245,61,32
150:654,76,616,58,29,650,564,224,542,736
156:17,302,654,616,58,8,84,29,650,70
161:17,302,654,616,58,8,84,29,650,70
171:17,302,654,616,58,8,84,29,650,70
172:17,302,654,616,58,8,84,29,650,70
174:45977,91046,53011,41159,59804,64482,75105,23193,41433,59905
177:302,654,616,58,84,29,518,542,354,1102
196:17,302,654,616,58,8,84,29,650,70
202:17,302,654,76,616,58,8,84,29,650
211:931,1539,1127,4481,1077,974,7620,206,13757,2117
217:61,568,2193,179,692,1412,4967,86,1009,288
220:3378,10178,11408,186,46421,32261,36743,22713,40356,88939
223:17,302,654,616,58,8,84,29,650,70
224:3514,4797,15627,24044,53543,51115,1467,8898,47366,60858
225:17,302,654,616,58,8,84,29,650,70
228:866,361,62,356,1730,3231,645,5514,704,10039
229:17,302,654,76,616,58,8,84,29,650
231:17,302,654,616,58,8,84,29,650,70
232:228,87404,8217,75577,37449,88929,57428,109145,91733,58761
238:508,1002,1451,1065,1544,3976,4798,3506,4513,7910
241:17,302,654,616,58,8,84,29,650,70
245:242,16441,76176,29706,54223,99798,119085,100933,25055,122095
249:866,354,361,245,61,787,94,364,2030,1405
250:17,302,654,76,616,58,8,84,29,650
253:238,429,4755,1790,1352,2018,1709,3704,5738,2068
257:17,302,654,76,616,58,8,84,29,650
272:17,302,654,616,58,8,84,29,650,518
273:302,654,616,58,8,84,29,650,70,564
288:17,302,654,616,58,8,84,29,650,70
290:70,508,1023,1462,2121,124,117,3599,521,3162
291:8,8213,5998,803,370,9077,4027,13273,22308,15507
292:17,302,654,616,58,8,84,29,650,70
294:302,654,616,58,8,84,29,650,81,70
328:17,84,354,1102,1348,2024,5514,3163,1212,761
331:29,15,101,6,61,322,861,162,554,1196
345:42061,11841,337,1754,77581,120518,80736,92129,100590
361:17,302,654,616,58,8,866,84,29,650
376:654,29,162,986,239,190,1550,3234,1140,859
384:302,654,616,58,8,84,29,650,564,518
401:17,302,654,76,616,58,8,84,29,650
402:17,302,654,76,616,58,8,84,29,650
410:564,736,1023,168,719,2512,4755,1352,1326,22
448:17,302,654,616,58,8,84,29,650,70
449:76,616,8,650,70,564,518,542,354,226
450:17,302,654,76,616,58,8,84,29,650
452:1097,1274,18471,17572,30463,38277,42693,74916,5930,47059
476:1451,4487,548,1139,1163,5119,9006,10713,8145,38
488:302,654,616,58,8,84,29,650,70,564
490:17,302,654,616,58,8,84,29,650,70
494:302,654,76,616,58,8,84,29,650,70
500:236,14750,12253,4203,8861,4756,10075,8197,10641,10682
514:236,32,409,168,1403,1558,1511,199,1086,1578
525:17,302,654,76,616,58,8,84,29,650
535:302,654,616,58,8,84,29,650,564,518
536:17,302,654,616,58,8,84,29,650,70
538:17,302,654,616,58,8,84,29,650,564
539:302,654,76,616,58,8,84,29,650,70
564:17,302,654,616,58,8,866,84,29,650
582:17,302,654,616,58,8,84,29,650,70
585:354,1023,891,1511,179,1332,2292,673,348,559
590:17,302,654,616,58,8,84,29,650,70
601:51329,75023,90054,583,90819,18245,94414,27493,105155,27912
618:81,70,698,780,1511,5767,754,731,140,3423
624:378,1542,12522,6310,2637,8804,37558,15963,62640,54531
627:13348,11539,14210,30122,607,31368,25293,36266,19731,48524
628:47601,41582,36536,70099,118810,38576,75280,35237,65861,102109
632:225,4194,44,3819,15289,12090,611,53108,8621,28888
633:17,302,654,616,58,8,84,29,650,70
634:81,2967,375,3423,2241,1888,7211,13544,3718,6108
646:866,361,698,2139,2265,1730,1913,254,802,624
666:7926,10981,5319,7268,11590,19378,1337,18920,13998,1997
667:650,508,364,656,97,999,353,1511,1804,496
669:2869,652,13728,70748,46436,74686,7832,26829,55668,14996
678:616,542,138,15,289,101,6,327,61,861
680:302,654,76,616,58,8,84,29,650,564
681:564,378,168,353,546,1002,774,3730,2715,1326
682:226,15,236,2139,358,1535,168,2265,1403,719
683:663,110546,6740,89303,113893,66734,32065,34464,77432,111888
684:2548,984,2153,5480,1400,8860,760,7838,1501,877
715:203,4562,26181,18919,1076,2392,10883,4918,10958,1189
716:3711,642,696,1180,1684,3680,4828,11579,13065,5670
741:363,719,4187,984,463,211,952,5480,661,1400
750:17,302,654,76,616,58,8,84,29,650
754:302,654,616,58,8,84,29,650,70,564
756:17,302,654,616,58,8,84,29,650,70
757:736,190,3505,8232,10295,19696,10236,2930,12490,6239
758:650,564,62,356,398,1511,1804,194,4904,3323
763:302,654,76,616,58,8,84,29,650,564
773:1709,5017,15167,26219,5064,30664,65508,2779,11886,27982
774:17,302,654,616,58,8,84,29,650,70
775:17,302,654,76,616,58,8,84,29,650
782:17,302,654,616,58,8,84,29,650,70
784:17,302,654,76,616,58,8,84,29,650
793:17,302,654,616,58,8,84,29,650,70
803:899,1462,48,2162,1187,875,2935,892,6450,4420
813:302,654,76,616,58,8,84,29,650,70
815:17,302,654,616,58,8,84,29,650,81
817:17,302,654,616,58,8,84,29,650,518
818:168,719,375,463,984,5480,661,1400,8860,760
